,Sector,Category,Crop,QueryType,QueryText,KccAns,DistrictName,isPaddy
256,AGRICULTURE,Cereals,Others,Market Information,Delay date of paddy sale in society,"Advised to contact Society secretary or call help line number -1967 for more information / fill Grievance form in the website Food odisha portal (grs.pdsodisha.gov.in).
",BHADRAK,1
335,AGRICULTURE,Cereals,Others,Government Schemes,Paddy mandi related queries,"Advice to contact cooperative society of your panchayat.
Acceptable  Moisture percentage for paddy  - 12-15 %",BHADRAK,1
392,AGRICULTURE,Cereals,Others,Government Schemes,Paddy mandi related queries,Advice to keep registered mobile number to get otp while checking for paddy mandi  token status.,BHADRAK,1
515,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Weed control in paddy,"
Recommended to  apply  Pretilachlor 50 %EC @ 400 ml Per Acre Of Land Or Mixing With 15-20kg Of Sand for Weed control in paddy",BHADRAK,1
552,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Second fertilizer dose in Paddy,"Recommended to apply Urea @ 25 kg, Zinc sulphate @ 10 kg, Dhanzyme gold @ 5 kg , Ferterra @ 4 kg per acre as second fertilizer dose in Paddy.",BHADRAK,1
554,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Fertilizer application at Tillering stage in paddy ,Recommended to apply 35 kg Urea+10 kg Zinc sulphate + 4kg Feterra per acre at Tillering stage in paddy ,BHADRAK,1
622,AGRICULTURE,Others,Others,Market Information,Paddy mandi related query,"Consumer Advice Centre  -
 1800-3456760",BHADRAK,1
626,AGRICULTURE,Cereals,Paddy (Dhan),	Water Management	,Weed management in paddy,Pyrazosulphuron ethyl 10% WP ( Saathi ) @ 80 g per 200 litre of water per 1 acre of land (6 g per 15 litre of water),BHADRAK,1
667,AGRICULTURE,Cereals,Others,Market Information,Paddy mandi related queries,Advice to keep farmer code while checking for token sms.,BHADRAK,1
688,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Kalabati paddy variety specification ," The duration of Kalabati is 150 days yield is comparatively very low(12 to 15 quintal/acre) As black rice is rich in protein, iron, and antioxidants it is sold at minimum Rs 200 to Rs 800₹ per Kg across India.",BHADRAK,1
731,AGRICULTURE,Others,Others,Government Schemes, Query related to selling of paddy in mandi,--Advised to contact Block Agriculture Officer for Query related to selling of paddy in mandi,BHADRAK,1
736,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,"Stem borer in Paddy
","Recommended to spray Marker ( Bifenthrin 10 % EC ) @ 400 ml per 200 litre of water per 1 acre of land.
Recommended to use Cartap hydrochloride 4G @7-8kg with 12 kg sand per acre.",BHADRAK,1
771,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer in Paddy,Recommended to spray Fipronil 5sc @ 2ml per litre of water for control of Stem borer in Paddy,BHADRAK,1
812,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Yellow stem borer in Paddy,Recommended to spray Regent (Fipronil 5% SC) @ 2 ml/l to control Yellow stem borer in Paddy,BHADRAK,1
940,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Second fertilizer dose for paddy ,"1 acre= Urea @ 20 kg, Zinc sulphate @ 10 kg , Ferterra @ 4 kg per acre.",BHADRAK,1
960,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Basal dose of fertilizer in paddy,Basal dose of fertilizer in paddy  =  Recommended to apply for paddy  DAP-35 kg + potash -15 kg + urea - 6 kg per acre as basal dose ,BHADRAK,1
1015,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem Borer in Paddy ,"Recommended to spray Emamectin Benzoate 5 % SG @ 80 g per 200 litre of water per 1 acre of land (6 g per 15 Litre water) in Paddy .

",BHADRAK,1
1017,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Stem borer in paddy ,--Recommended to spray Caldan 50%sp 30ml in 15 liters water to control Stem borer in paddy ,BHADRAK,1
1018,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem Borer infestation in Paddy ,Recommended to spray Emamectin Benzoate 5 % SG @ 80 g per 200 litre of water per 1 acre of land (6 g per 15 Litre water)  in Paddy ,BHADRAK,1
1026,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,2nd fertilizer dose in rice,"ଏହାର ୨୧ ଦିନ ପରେ ପିଲ ସାର ରେ Urea @ 20 kg, Zinc sulphate @ 10 kg କିମ୍ବା  Maha zinc @ 5 kg and Ferterra କିମ୍ବା  Thimet @ 4 kg ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ. ",BHADRAK,1
1079,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer in paddy,"Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) for Stem borer in paddy
  ",BHADRAK,1
1088,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer in paddy,Recommended to spray Fenpropathrin 30 EC @ 0.5 ml per lit of water ( 100 ml per 200 lit of water per acre of land) to control Stem Borer in paddy. ,BHADRAK,1
1089,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,3rd dose of fertiliser in paddy ,Recommended to apply Urea @ 20 kg and MOP @ 15 kg per acre as 3rd dose for Fertilizer application in paddy,BHADRAK,1
1137,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,For better plant growth of Paddy,Recommended to spray sagarika @ 400 ml per 200 litre of water per 1 acre of land or to spray Dhanzyme gold @ 200 ml per 200 litre of water per 1 acre of land for better plant growth of Paddy.,BHADRAK,1
1257,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Increase yield in paddy ,Recommended to spray dhanzyme gold @ 200 ml per 200 litre of water per 1 acre of land (1 ml per 1 litre of water),BHADRAK,1
1286,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer in paddy ,Recommended to spray Chlorantraniliprole18.5% SC @ 60 ml/acre in 200 litres of water.,BHADRAK,1
1287,AGRICULTURE,Cereals,Others,Market Information,Paddy mandi related queries ,--Advised to contact nearest cooperative society  related queries .,BHADRAK,1
1315,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,Stem Borer in Paddy ,"Recommended to spray Emamectin Benzoate 5 % SG @ 80 g per 200 litre of water per 1 acre of land (6 g per 15 Litre water)  in Paddy 

",BHADRAK,1
1321,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Fruit and shoot borer in brinjal,Recommended to spray Emamectin Benzoate 5 % SG @ 80 g per 200 litre of water per 1 acre of land (6 g per 15 Litre water) for Fruit and shoot borer in brinjal,BHADRAK,1
1401,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	, Sheath rot in Paddy ,Recommended to spray Hexaconazole 5%sc 30ml in 15 liters water to control Sheath rot in Paddy ,BHADRAK,1
1403,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,For uniform panicle initiation in Paddy ,Recommended to spray(0:0:50)100gm in 15 liters water for uniform panicle initiation in Paddy ,BHADRAK,1
1404,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Improper emerging of panicle potassic fertilizer has been skipped,"Recommended to spray NPK (00:00:50) Fertilizer@100gm/15lt of water (1kg/200lt water) after that 3-4 days, advise to spray sagarika@30ml/15lt of water ",BHADRAK,1
1406,AGRICULTURE,Others,Others,	Plant Protection	,I want to keep the paddy seeds for next season How to do that,--Advised to treat the seeds with malathion @ 2ml per litre and then shade dry the seeds and then pack the seeds in gunny bags.,BHADRAK,1
1407,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,For better tillering in paddy,"Recommended to apply  Iffco Sagarika z++ @ 8-10 kg per acre for for better tillering in Paddy.
",BHADRAK,1
1426,AGRICULTURE,Millets,Maize (Makka),	Plant Protection	,Maize stem borer in paddy,"Recommended to spray Emamectin Benzoate 5 % SG @ 80 g per 200 litre of water per 1 acre of land (6 g per 15 Litre water) to control maize stem borer in paddy. 

",BHADRAK,1
1517,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,weed management in moong,Advised to remove weed manually,BHADRAK,1
1523,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,Variety of Paddy,"Recommended variety of Paddy is Pooja, Swarna eetc.",BHADRAK,1
1533,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,To know the yield of kala champa variety of paddy,Recommended the yield of kala champa variety of paddy is 96quintal/ha.,BHADRAK,1
1545,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,Varieties of Paddy for low land condition,"Varieties of Paddy for low land condition:- Swarna Sub1, Pooja, Sarala, Durga, Varsadhan, Binadhan 11, Ashutosh",BHADRAK,1
1597,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,About Variety Kalachampa  1009 sub 1  rice,"Kalachampa-Maturity (Days) :150-170 days under normal sowing , yield-28q/acre
CR 1009 sub 1  rice-CR1009 Sub-1 is similar to its parent with long duration (155 days), yield-26 q/ acre .
Orissa State Seeds Corporation Limited (OSSC
Address: 6RHR+CRJ, Samantarapur, Old Town, Bhubaneswar, Odisha 751002
Phone: 0674 234 0573",BHADRAK,1
1741,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Better yield in paddy ,Recommended to spray Biovita liquid@1ml per litre of water,BHADRAK,1
1742,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Dose of Boron 20 for paddy ,Boron 20% @ 200gm with 200 liter of water per acre  (15 g per 15lit of water)+ 5kg MAHA ZINC,BHADRAK,1
1782,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Gundhi bug in Paddy,Recommended to spray Cypermethrin 8ml per 15L  for gundhi bug.,BHADRAK,1
1810,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Query about weed management in paddy ,"Glyphosate 41% SL @ 1000 ml per 200 litre of water per 1 acre of land (Works in 7-10 days and control weed for 1-2 month ,",BHADRAK,1
1836,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Rice blast in paddy,Recommended to spray Tricyclazole 75 WP @ 130 g per 200 litre of water per 1 acre of land to control Blast in Paddy. ,BHADRAK,1
1868,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Gundhi Bug in paddy,"Recommended to spray Dichlorvos 76% EC @ 400 ml in 200 Litre water per acre to control Gundhibug in Paddy  & 
 Recommended to spray Neem oil @ 600 ml per 200 litre of water per acre of land.(3ml/lt of water)
",BHADRAK,1
1869,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Block level help ,Advised to contact AAO (Assistant Agriculture Officer) for further help.,BHADRAK,1
1890,AGRICULTURE,Cereals,Paddy (Dhan),Organic Farming,Nutrient management through organic farming ,"Apply 12.5 t of FYM or compost or green leaf manure @ 6.25 t/ha. Broadcast 10 kg of soil based powdered BGA flakes at 10 DAT for the dry season crop. Maintain a thin film of water for multiplication.

Raise azolla as a dual crop by inoculating 250 kg/ha 3 to 5 DAT and then incorporate during weeding for the wet season crop. 
Mix 10 packets (2000 g)/ha of Azospirillum and 10 packets (2000g/ha)of Phosphobacteria or 20 packets (4000g/ha) of Azophos inoculants with 25 kg FYM and 25 kg of soil and broadcast the mixture uniformly in the main field before transplanting

",BHADRAK,1
1914,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Third  Fertilizer Dose in Paddy,"Third  Fertilizer Dose in Paddy
ଥୋଡବାହାରିବା ସମୟ ରେ Urea @ 20 kg ଏକର ପିଛା ଦିଅନ୍ତୁ.",BHADRAK,1
1965,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Paddy seeds related query,NRRI CUTTACK- 0671 236 7757,BHADRAK,1
1985,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Aphids in paddy,Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (2ml per lit of water)  to control aphids in paddy. ,BHADRAK,1
1993,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Online dhana seed,Visit Go-SUGAM website,BHADRAK,1
2016,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Stem borer attack in paddy ,Flubendiamide 480 SC ( FAME )  @ 65 ml per 200 litre water (5 ml Per 15 Liter of Water,BHADRAK,1
2023,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,"Stem borer in paddy 
  ","Recommended to spray Fipronil 5% SC @ 400 ml per 200 litre of water per 1 acre of land (30ml in 15 litre water) for Stem borer in paddy 
  ",BHADRAK,1
2047,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Can i spray boron with insecticide ,Advise to not to spray boron with insecticide combinely if you want to spray then spray boron10.5%@45g/15lt of water ,BHADRAK,1
2058,AGRICULTURE,Cereals,Others,Government Schemes,Sources of Paddy seeds,"Odisha State Seeds Corporation, Samantarapur- 08637299872",BHADRAK,1
2084,AGRICULTURE,Others,Others,Varieties,Availability of paddy seed,Advised to apply on GO SUGAM portal for the paddy procrument.,BHADRAK,1
2132,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,Paddy variety for medium land,"Paddy variety for medium land with135-150 days duration:-  Pooja, CR DHAN 300, CR DHAN301, CR DHAN 307, Ajaya, Improved Lalat, Improved Tapaswini,   1014, Gayatri, Utkalaprabha, Udaya, Shakti, Durga",BHADRAK,1
2148,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Algal bloom in paddy ,Recommended to spray Copper Sulphate @2kg per acre of land with 10-15 kg of sand ,BHADRAK,1
2152,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Rice paddy varieties,Advised to grow the 1064 and 1061 paddy varieties.,BHADRAK,1
2158,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,Variety of Paddy and yield,Recommended variety of Paddy is Prasanna and its yield is 38 q per acre and Silky 277 and its yield is -36 q per acre,BHADRAK,1
2167,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,Medium duration high yielding paddy variety ,"PRASANNA-Duration: 135 - 140 days-Yield t/ha: 8.0 - 9.0 tonnes per hectare.
CR Dhan 701 (CRHR 32):(142-145 days)-6.0-6.5 t/ha

",BHADRAK,1
2172,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Black rice related query,Advised to visit block agriculture officer,BHADRAK,1
2215,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Rodent infestation in paddy godown ,Advised to use Rat sticky Trap or use poison bait 100gm(96gm flour+2ml edible oil+2gm Zinc phosphide) with drinking water in small earthen pot.,BHADRAK,1
2226,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,SEED VARIETY OF RICE,"Advice to contact ICAR-National Rice Research Institute
Cuttack, Odisha
Phone: +91-671-2367757/67 for new variety of rice seed ",BHADRAK,1
2280,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Kanak Plus seed Yield,Kanak plus seed yield will be 5-6ton per ha.,BHADRAK,1
2294,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,VARITIES OF PADDY KHALA JAMI  ,"Varieties of (khala jami) - CR1009 Sub 1, GAYATRI (CR-1018),  kanak + , PAN-804 indrabati (150) ( M &F ), mahanadi (150) ( M &F ), ramachandi (155) ( fat ), gayatri (155) ( S & F), kanchana (155) ( M & T ), jagabandhu (155) ( Fat ), ",BHADRAK,1
2312,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Paddy variety,Advised to grow Prasanna variety of Krishidhan seeds.,BHADRAK,1
2323,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Go  Sugam Portal and Nrri Contact Number,"--Pre-booking for Kharif 2023 has been closed. Pre-booking for Rabi 2023-24 will open soon!
Phone: 0671 236 7757",BHADRAK,1
2324,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,National rice research institute contact number,"National rice research institute , cuttack , contact numbers -  = CRRI, Cuttack - DirectorCentral Rice Research Institute,Cuttack (Orissa) 753 006, India , Phone: +91-671-2367757 , Phone: 91-0671-2367768-83",BHADRAK,1
2344,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability, Basal dose in paddy ,Recommended to apply 35 kg DAP+15 kg MOP+5kg Urea+25kg Zypmite plus per acre as Basal dose in paddy ,BHADRAK,1
2390,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Rice Seed Variety ,"Sampada seed
Yield potential: 65-70 quintals/ha
Days to maturity: 135 days 
medium height plant",BHADRAK,1
2405,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Paddy seeds variety,Advised to use nuziveedu seeds variety,BHADRAK,1
2412,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,High yield long rice seeds,"CR DHAN 701, CR DHAN 802, Rajalaxmi, Ajay these are the seeds for high yielding and Long rice plant.",BHADRAK,1
2413,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,Query about np 7075 paddy variety ,"np -7075 paddy variety .-High yielding hybrid- 30-35 q per acre , medium duration(135-140) paddy variety from nuziveedu company",BHADRAK,1
2420,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Semi dwarf Rice  Seed Variety,"CR Dhan 701 
CR Dhan 300
Ajay (CRHR-7)",BHADRAK,1
2421,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,About Obama Gold33,"Features: 155 - 160 days duration, Medium slender grain, blast blight tolerant, Wider adaptability, most suitable for coastal area of Odhisa & low line land of Bihar & Uttar Pradesh.
",BHADRAK,1
2437,AGRICULTURE,Cereals,Others,Government Schemes,Paddy seed Availability in Govt Sector,"Advised to contact Block Agriculture officer / contact Odisha State Seeds Corporation Samantarapur, Old Town, Bhubaneswar, Odisha 751002
Phone: 0674 234 0573",BHADRAK,1
2447,AGRICULTURE,Cereals,Paddy (Dhan),Seeds, Medium paddy variety,"--Recommended Medium paddy variety-Arize 6444 gold, Sampada, sindhu, MTU-1001, MTU-1010,",BHADRAK,1
2453,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Seed treatment in paddy ,Advised to use Vitavax Power  (Carboxin 37.5% + Thiram 37.5% DS)@3gm per kg of seed,BHADRAK,1
2454,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Salt solution application for chaffy paddy removal ,Advised to go for application of salt 165gm per litre of water,BHADRAK,1
2455,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Cyperus rotundus removal for barren field ,Recommended to spray Glyphosate 41% SL @ 1000 ml per 200 litre of water per 1 acre of land  ,BHADRAK,1
2481,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Paddy varieties for low land,"Recommended paddy varieties for low land - indrabati , mahanadi,  ramachandi, gayatri , Savitri",BHADRAK,1
2488,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Seed treatment of paddy,For 1 kg paddy seed 2gm Vitavax powder in 1 liter water for overnight,BHADRAK,1
2513,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,Paddy variety suitable for up and medium land ,"Advised to grow Swarna shreya paddy variety which matures in between 120-125 days with maximum height of 105-110 cm (semi-dwarf).
These seed variety is available in your nearby society so please visit.
Treat the seeds with carbendazim @ 1-1.5 g per kg seeds for the initial prevention of diseases.",BHADRAK,1
2519,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,JK Swarnamoti paddy variety,"JK SWARNAMOTI
Mid late variety ,medium bold grain with high productive tillers
     SALIENT FEATURES:​

Mid-late Crop duration (140-145 days) in Kharif
Strong thick stem
Semi-dwarf Plant height of 100-105 cm
High productive tillers (14/plant)
Compact Panicles with medium length (24-26 cm) & without awns
Medium bold shiny non-shattering grains
Grain Yield Potential (6.5-7.5 t/ha)
RECOMMENDATION:
Suitable for cultivation in Northern & North-east parts of India",BHADRAK,1
2522,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,1075 paddy variety,1075 PADDY variety cultured in low land.,BHADRAK,1
2524,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,Paddy varieties,"CR Dhan 800, CR Dhan 408 (Chaka Akhi), CR Dhan 407, Sumit ( CR Dhan 404 ), Pooja, 	Padmini, Moti, Anamika",BHADRAK,1
2569,AGRICULTURE,Others,Others,	Plant Protection	,Upland short duration paddy variety ,"Kamesh (CR Dhan 40),Shabhagidhan (IR 74371-70-1-1-CRR-1):: Bayer Arize 6444 gold( 30-35q/acre),",BHADRAK,1
2570,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Paddy variety,"Recommended paddy variety--Arize gold 6444, sindhu, surendra, Bhoi, Naveen",BHADRAK,1
2576,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Seed rate of kalachampa variety sampada variety,"--Seed rate of kalachampa variety - 10- 12 kg per acre 
  -Seed rate of sampada variety -18-20 kg per acre ",BHADRAK,1
2578,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Paddy seeds purchase information,"Advised to contact 
National Rice Research Institute (NRRI), Bidyadharpur- 06712367757
Odisha State Seeds Corporation, Samantarapur- 08637299872",BHADRAK,1
2583,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Germination problem in paddy ,Advise to supply sufficient  irrigation water to the uneven germinated paddy field after advise to spray biozyme@1-2ml/lt of water,BHADRAK,1
2630,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,About paddy weed management  ,Recommended to spray Pyrazosulphuron ethyl 10% WP ( Saathi ) @ 80 g per 200 litre of water per 1 acre of land (6 g per 15 litre of water),BHADRAK,1
2631,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,herbicide application  at dried or moist condition ,Advise--you can apply herbicide at moist condition ,BHADRAK,1
2632,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Preemergence weed management in paddy ,Recommended to  Apply  Pretilachlor 50 %EC @ 450-500ml ml Per Acre Of Land Or Mixing With 15-20kg Of Sand(1-3das/dat),BHADRAK,1
2658,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,Varieties of paddy ,Varieties of paddy - PAN 804 Jamuna,BHADRAK,1
2659,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,Seed rate of PAN 804 jamuna paddy variety ,Seed rate of PAN 804 jamuna paddy variety - 6-8 kg per acre ,BHADRAK,1
2670,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,Paddy seeds variety,"Address: 6RHR+CRJ, Samantarapur, Old Town, Bhubaneswar, Odisha 751002
Phone: 0674 234 0573",BHADRAK,1
2739,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Fertilizer dose for paddy nursery ,--Recommended to apply DAP - 4 Kg + MOP - 2.5 Kg + Zinc Sulphate - 1 Kg per 400 sq. m nursey area and after 13-25 days apply urea @ 2.8 kg per 400 square meter .,BHADRAK,1
